"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","url","categoryName"
"יאיר צרפתי צילום אווירי","5","48","הפלמ""ח 4","נהריה",,"IL",,"+972 52-528-9686","צלם אווירי",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%99%D7%90%D7%99%D7%A8%20%D7%A6%D7%A8%D7%A4%D7%AA%D7%99%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99&query_place_id=ChIJvVQV4UXPHRURUjs4nPyEKng","צלם אווירי"
"Fly photo , צילום באמצעות רחפנים צילומי אוויר פליי פוטו","5","8","אבטליון","אלעד",,"IL",,"+972 52-571-7975","צלם אווירי",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fly%20photo%20%2C%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%91%D7%90%D7%9E%D7%A6%D7%A2%D7%95%D7%AA%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D%20%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%90%D7%95%D7%95%D7%99%D7%A8%20%D7%A4%D7%9C%D7%99%D7%99%20%D7%A4%D7%95%D7%98%D7%95&query_place_id=ChIJXRNkB-M1HRURUm2wpcJxTQg","צלם אווירי"
"סקיישוט צילום אווירי בעזרת רחפנים","5","12","קרליבך 4","תל אביב-יפו",,"IL","http://www.skyshot.co.il/","+972 52-268-7951","צלם אווירי","צלם",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A1%D7%A7%D7%99%D7%99%D7%A9%D7%95%D7%98%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99%20%D7%91%D7%A2%D7%96%D7%A8%D7%AA%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJr-qG52azAhUR9KPGPrFVLjE","צלם אווירי"
"רואים מלמעלה מצלמים מכל זווית","4.9","41","ענתות 5","חיפה",,"IL","http://rm-photos.co.il/","+972 52-943-9913","צלם","שירות ריטוש צילומים","סטודיו לצילום","צלם חתונות",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A8%D7%95%D7%90%D7%99%D7%9D%20%D7%9E%D7%9C%D7%9E%D7%A2%D7%9C%D7%94%20%D7%9E%D7%A6%D7%9C%D7%9E%D7%99%D7%9D%20%D7%9E%D7%9B%D7%9C%20%D7%96%D7%95%D7%95%D7%99%D7%AA&query_place_id=ChIJ0xdV_yO7HRURysSw9RFs3NA","צלם"
"צילומי רחפן | גיא שמואלי","5","3","רוזנבלט 3","משמר השרון",,"IL","https://guyshmueli.wixsite.com/guyshphotography","+972 52-609-1126","שירות צילום",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%A8%D7%97%D7%A4%D7%9F%20%7C%20%D7%92%D7%99%D7%90%20%D7%A9%D7%9E%D7%95%D7%90%D7%9C%D7%99&query_place_id=ChIJV2EO-D4VHRURvALGNVHzYvE","שירות צילום"
"לול טי וי","4.7","361",,"גבעת השלושה",,"IL","http://www.looltv.com/","+972 3-656-5500","חנות ציוד לכלי טיס","חנות",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%95%D7%9C%20%D7%98%D7%99%20%D7%95%D7%99&query_place_id=ChIJ5UiVCmA5HRURifxYEutdsuw","חנות ציוד לכלי טיס"
"Creative Mind הפקות וידאו, צילומי רחפן ובניית כרטיס ביקור דיגיטלי","4.6","10","אזור צפוני 10","אפיקים",,"IL","http://creative-mind.co.il/","+972 54-572-0989","שירות צילום",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Creative%20Mind%20%D7%94%D7%A4%D7%A7%D7%95%D7%AA%20%D7%95%D7%99%D7%93%D7%90%D7%95%2C%20%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%A8%D7%97%D7%A4%D7%9F%20%D7%95%D7%91%D7%A0%D7%99%D7%99%D7%AA%20%D7%9B%D7%A8%D7%98%D7%99%D7%A1%20%D7%91%D7%99%D7%A7%D7%95%D7%A8%20%D7%93%D7%99%D7%92%D7%99%D7%98%D7%9C%D7%99&query_place_id=ChIJi-7I60trHBUR5zGCwVnQwt8","שירות צילום"
"צילומי אוויר קורסים והדרכות רחפנים - NVDF","5","8","התלתן 22","נתניה",,"IL","https://www.instagram.com/nvdf365/","+972 50-247-1444","צלם אווירי",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%90%D7%95%D7%95%D7%99%D7%A8%20%D7%A7%D7%95%D7%A8%D7%A1%D7%99%D7%9D%20%D7%95%D7%94%D7%93%D7%A8%D7%9B%D7%95%D7%AA%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D%20-%20NVDF&query_place_id=ChIJi4XoWAs_HRUR8LCbuu2Lg0Q","צלם אווירי"
"טוהר זנתי-שירותי צילום ועריכה","5","1",,,,,,"+972 54-564-4366","צלם","Service establishment",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%98%D7%95%D7%94%D7%A8%20%D7%96%D7%A0%D7%AA%D7%99-%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%95%D7%A2%D7%A8%D7%99%D7%9B%D7%94&query_place_id=ChIJUdaRBgHPHRURNPYLp-h06ic","צלם"
"May Fly שירותי צילום אוויריים","5","14",,"שדות ים",,"IL","http://maydfly.com/","+972 52-879-5365","צלם אווירי","צלם","שירות צילום","צלם חתונות",,,,,"https://www.google.com/maps/search/?api=1&query=May%20Fly%20%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99%D7%99%D7%9D&query_place_id=ChIJHx1sbYYNHRUR0oTKaAbNtno","צלם אווירי"
"איגל צילומים - צילום אווירי | צילום אוירי | סיורים וירטואליים","5","1","הערבה 2","מגשימים",,"IL","http://www.eagle-eye.co.il/","+972 50-335-5336","צלם","צלם אווירי","שירות צילום",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%99%D7%92%D7%9C%20%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%D7%9D%20-%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99%20%7C%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%99%D7%A8%D7%99%20%7C%20%D7%A1%D7%99%D7%95%D7%A8%D7%99%D7%9D%20%D7%95%D7%99%D7%A8%D7%98%D7%95%D7%90%D7%9C%D7%99%D7%99%D7%9D&query_place_id=ChIJbSaVB7o1HRURMy66BvM1mEU","צלם"
"Drone-Options","5","98","דוידזון","ראשון לציון",,"IL","http://www.drone-options.com/","+972 52-377-1361","צלם אווירי","מרכז למידה",,,,,,,"https://www.google.com/maps/search/?api=1&query=Drone-Options&query_place_id=ChIJASZjTLxNiqwR3w2_9_hn3vc","צלם אווירי"
"עולם הרחפנים","4.6","91","סוקולוב 80","רמת השרון",,"IL","http://www.bargad.co.il/","+972 52-665-3331","מעבדה","ספק מוצרי קידום מכירות",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A2%D7%95%D7%9C%D7%9D%20%D7%94%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJSSdVZmw2HRUR_j0On7cbIaE","מעבדה"
"Dronim צילומי רחפן",,,,"עין זיוון",,"IL",,"+972 54-737-6852","שירות צילום",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dronim%20%D7%A6%D7%99%D7%9C%D7%95%D7%9E%D7%99%20%D7%A8%D7%97%D7%A4%D7%9F&query_place_id=ChIJ8eGtJDOvHhUROnGOr3cCWsI","שירות צילום"
"כתום צלמים","4.9","113","שדרות הנשיא 131","חיפה",,"IL","http://www.catom.net/","+972 4-855-1441","סטודיו לצילום",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9B%D7%AA%D7%95%D7%9D%20%D7%A6%D7%9C%D7%9E%D7%99%D7%9D&query_place_id=ChIJQTmc9AO7HRURhTNO_TJ2-Dw","סטודיו לצילום"
"הוביז בע""מ","4","51","יד חרוצים 6","כפר סבא",,"IL","http://www.hobbiz.co.il/","+972 72-384-5200","משרדי החברה",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%95%D7%91%D7%99%D7%96%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJUTEclMKiAhURB24vhhCVAdg","משרדי החברה"
"לביא תצלומי אוויר","5","2","נים 2, עזריאלי ראשונים","ראשון לציון",,"IL","https://laviuav.com/","+972 77-345-9805","צלם אווירי","צלם",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%91%D7%99%D7%90%20%D7%AA%D7%A6%D7%9C%D7%95%D7%9E%D7%99%20%D7%90%D7%95%D7%95%D7%99%D7%A8&query_place_id=ChIJJWDmsve1AhURcSatOYQFMD0","צלם אווירי"
"Top Visual צילום אווירי","5","21","המרי","גבעתיים",,"IL",,"+972 53-752-4556","שירות צילום","צלם אווירי","שירות הפקת וידאו",,,,,,"https://www.google.com/maps/search/?api=1&query=Top%20Visual%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99&query_place_id=ChIJbwheV7JLHRUReye98cAtzQc","שירות צילום"
"SPOTLIGHT Drone Solutions","5","4","שכ 6","ערערה בנגב",,"IL",,"+972 51-510-0532","חנות רחפנים","שירות צילום","סטודיו לצילום",,,,,,"https://www.google.com/maps/search/?api=1&query=SPOTLIGHT%20Drone%20Solutions&query_place_id=ChIJS0wQ6kVFAhURzlQ37s9FLKU","חנות רחפנים"
"רחפני תל אביב Tlvdrones","4.9","81","שיינקין 76","גבעתיים",,"IL",,"+972 50-511-2127","חנות",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A8%D7%97%D7%A4%D7%A0%D7%99%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%20Tlvdrones&query_place_id=ChIJwZuO70FLHRURzvo8jz9jaz0","חנות"
"DJI Israel","4.2","598","משכית 26","הרצליה",,"IL","https://www.djistore.benda.co.il/","+972 73-266-0699","חנות חשמל ואלקטרוניקה",,,,,,,,"https://www.google.com/maps/search/?api=1&query=DJI%20Israel&query_place_id=ChIJo5dgSmRJHRURNIccpfdGpkI","חנות חשמל ואלקטרוניקה"
"נקודת רחפן",,,"H4XC+23","ג'ועארה",,"IL",,"","צלם",,,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A0%D7%A7%D7%95%D7%93%D7%AA%20%D7%A8%D7%97%D7%A4%D7%9F&query_place_id=ChIJEeahfgCpHRURStDDMqZNN0I","צלם"
"DroneView - צילום הצעות נישואין, צילום רחפן","5","8",,,,,"https://droneview.co.il/","+972 54-315-3488","שירות צילום","צילום מסחרי","Service establishment",,,,,,"https://www.google.com/maps/search/?api=1&query=DroneView%20-%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%94%D7%A6%D7%A2%D7%95%D7%AA%20%D7%A0%D7%99%D7%A9%D7%95%D7%90%D7%99%D7%9F%2C%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%A8%D7%97%D7%A4%D7%9F&query_place_id=ChIJIec9o-QOym4RYF3ss6gKC64","שירות צילום"
