"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","url","categoryName"
"אור פרו מוצרי מגנט וקד""מ בע""מ","4.2","55","שדרות הר ציון 104","תל אביב-יפו",,"IL","http://www.orproject.net/","+972 3-681-0226","יצרן","יבואן","חנות","סיטונאי",,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%95%D7%A8%20%D7%A4%D7%A8%D7%95%20%D7%9E%D7%95%D7%A6%D7%A8%D7%99%20%D7%9E%D7%92%D7%A0%D7%98%20%D7%95%D7%A7%D7%93%22%D7%9E%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJu8XIgKBMHRURPpcarNjr81I","יצרן"
"טל לאור צילום ועריכת וידאו - TL media",,,"שדרות מנחם בגין","יהוד מונוסון",,"IL","https://www.instagram.com/tal_laor_tlmedia?igsh=Y3M4Mmc0enRxOTln","+972 54-767-0323","צילום מסחרי","שירות לשיווק באינטרנט","סוכנות צילום","שירות צילום","שירות עריכת וידאו","שירות הפקת וידאו",,"https://www.google.com/maps/search/?api=1&query=%D7%98%D7%9C%20%D7%9C%D7%90%D7%95%D7%A8%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%95%D7%A2%D7%A8%D7%99%D7%9B%D7%AA%20%D7%95%D7%99%D7%93%D7%90%D7%95%20-%20TL%20media&query_place_id=ChIJVy8eNBM1HRURC7ysLliImHs","צילום מסחרי"
"SIRI Ariel Photography-סירי צילום אויר","5","3","דרך הים 17","גני תקווה",,"IL","https://siriap.com/","+972 54-811-1385","תא צילום",,,,,,,"https://www.google.com/maps/search/?api=1&query=SIRI%20Ariel%20Photography-%D7%A1%D7%99%D7%A8%D7%99%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%99%D7%A8&query_place_id=ChIJCa-L_EpLHRURX1SppTgM4Wo","תא צילום"
"לגעת במרחב בע""מ",,,"דרך הראשונים 53","בני עטרות",,"IL","http://www.geo-touch.com/","+972 3-303-6278","שירות מיפוי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%92%D7%A2%D7%AA%20%D7%91%D7%9E%D7%A8%D7%97%D7%91%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJQ8jQ-TrLAhUR5ASszaZFtQg","שירות מיפוי"
"ישראל גוך I.G DRONE",,,"ברקאי 11","רמת גן",,"IL","https://sites.google.com/view/igdrone/%D7%91%D7%99%D7%AA?authuser=3","+972 54-614-9361","שירות צילום",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%99%D7%A9%D7%A8%D7%90%D7%9C%20%D7%92%D7%95%D7%9A%20I.G%20DRONE&query_place_id=ChIJM0QoNN9LHRURBCsVNWPrDHg","שירות צילום"
"Propeller Drones - פרופלור דרונס","5","41","צור 8","כוכב יאיר צור יגאל",,"IL","http://www.propeller-drones.com/","+972 77-604-8588","שירותי רחפנים",,,,,,,"https://www.google.com/maps/search/?api=1&query=Propeller%20Drones%20-%20%D7%A4%D7%A8%D7%95%D7%A4%D7%9C%D7%95%D7%A8%20%D7%93%D7%A8%D7%95%D7%A0%D7%A1&query_place_id=ChIJAR-Yck49HRUR2GJE3ceMWjw","שירותי רחפנים"
"מודד מוסמך","5","22",,,,,"https://top-surveyor.co.il/","+972 53-535-0341","מודד","Service establishment",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%95%D7%93%D7%93%20%D7%9E%D7%95%D7%A1%D7%9E%D7%9A&query_place_id=ChIJyZjRshDNOa8Rh8SS3BSTENY","מודד"
"צילום ארועים טל אורון","5","2",,,,,"https://instagram.com/taloron_photographer?igshid=10t0vyp8nnuon","+972 54-534-5655","צלם","Service establishment",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%A8%D7%95%D7%A2%D7%99%D7%9D%20%D7%98%D7%9C%20%D7%90%D7%95%D7%A8%D7%95%D7%9F&query_place_id=ChIJGXKcq61DkE4RIlpC4y8bk1c","צלם"
"Drone-Options","5","98","דוידזון","ראשון לציון",,"IL","http://www.drone-options.com/","+972 52-377-1361","צלם אווירי","מרכז למידה",,,,,,"https://www.google.com/maps/search/?api=1&query=Drone-Options&query_place_id=ChIJASZjTLxNiqwR3w2_9_hn3vc","צלם אווירי"
"גאדג'ט-ליין - מימד חדש של מתנות","3.8","403","שדרות המעפילים 36","תל אביב-יפו",,"IL","https://www.gadgetline.co.il/","+972 3-574-4086","חנות מתנות",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92%D7%90%D7%93%D7%92'%D7%98-%D7%9C%D7%99%D7%99%D7%9F%20-%20%D7%9E%D7%99%D7%9E%D7%93%20%D7%97%D7%93%D7%A9%20%D7%A9%D7%9C%20%D7%9E%D7%AA%D7%A0%D7%95%D7%AA&query_place_id=ChIJ57Vg1L5LHRURDs0T_G6ZaxI","חנות מתנות"
