"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","url","categoryName"
"Propeller Drones - פרופלור דרונס","5","41","צור 8","כוכב יאיר צור יגאל",,"IL","http://www.propeller-drones.com/","+972 77-604-8588","שירותי רחפנים","חנות רחפנים",,,,"https://www.google.com/maps/search/?api=1&query=Propeller%20Drones%20-%20%D7%A4%D7%A8%D7%95%D7%A4%D7%9C%D7%95%D7%A8%20%D7%93%D7%A8%D7%95%D7%A0%D7%A1&query_place_id=ChIJAR-Yck49HRUR2GJE3ceMWjw","שירותי רחפנים"
"May Fly שירותי צילום אוויריים","5","14",,"שדות ים",,"IL","http://maydfly.com/","+972 52-879-5365","צלם אווירי","צלם","שירות צילום","צלם חתונות",,"https://www.google.com/maps/search/?api=1&query=May%20Fly%20%D7%A9%D7%99%D7%A8%D7%95%D7%AA%D7%99%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99%D7%99%D7%9D&query_place_id=ChIJHx1sbYYNHRUR0oTKaAbNtno","צלם אווירי"
"Airobotics","4.8","69","מודיעין 8","פתח תקווה",,"IL","http://www.airoboticsdrones.com/","+972 3-537-4946","חברת אירוספייס",,,,,"https://www.google.com/maps/search/?api=1&query=Airobotics&query_place_id=ChIJI8qvaEg2HRURQm22ebHoPbo","חברת אירוספייס"
"הארגון הישראלי לרב להב רחפנים","4.9","7","יד חרוצים 27","נתניה",,"IL","http://www.icd.org.il/","+972 52-507-6677","חברת תעופה",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%90%D7%A8%D7%92%D7%95%D7%9F%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99%20%D7%9C%D7%A8%D7%91%20%D7%9C%D7%94%D7%91%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJFYM4f1I_HRURUnqVCLY7W4Q","חברת תעופה"
"Drone-Options","5","98","דוידזון","ראשון לציון",,"IL","http://www.drone-options.com/","+972 52-377-1361","צלם אווירי","מרכז למידה",,,,"https://www.google.com/maps/search/?api=1&query=Drone-Options&query_place_id=ChIJASZjTLxNiqwR3w2_9_hn3vc","צלם אווירי"
"טיסני חולון","4.8","72","ירושלים 63","אזור",,"IL","http://www.tholon.co.il/","+972 3-652-1878","חנות תחביבים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%98%D7%99%D7%A1%D7%A0%D7%99%20%D7%97%D7%95%D7%9C%D7%95%D7%9F&query_place_id=ChIJuyyt6jZLHRURJKKk961uM04","חנות תחביבים"
"פריפלייט | Preflight","5","3",,"גבעת השלושה",,"IL","https://www.preflight.co.il/","+972 54-565-6521","בית ספר לטיסה",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%A8%D7%99%D7%A4%D7%9C%D7%99%D7%99%D7%98%20%7C%20Preflight&query_place_id=ChIJ5QnZt0S3AhUROiusvysK3qQ","בית ספר לטיסה"
"הטיסן נתניה","4.7","89","המחשב 1","נתניה",,"IL",,"+972 9-885-9282","חנות צעצועים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%98%D7%99%D7%A1%D7%9F%20%D7%A0%D7%AA%D7%A0%D7%99%D7%94&query_place_id=ChIJq-58voA_HRURslah5jOQCKc","חנות צעצועים"
"מנחת הבונים","4.7","6",,"הבונים",,"IL",,"","מסלול המראה",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9E%D7%A0%D7%97%D7%AA%20%D7%94%D7%91%D7%95%D7%A0%D7%99%D7%9D&query_place_id=ChIJaXtfasOgHRURwnIDD7fs60Q","מסלול המראה"
"ניב מדידות והנדסה אזרחית בע""מ",,,"דרך בר יהודה 300","חיפה",,"IL",,"+972 4-820-2860","מודד",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A0%D7%99%D7%91%20%D7%9E%D7%93%D7%99%D7%93%D7%95%D7%AA%20%D7%95%D7%94%D7%A0%D7%93%D7%A1%D7%94%20%D7%90%D7%96%D7%A8%D7%97%D7%99%D7%AA%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJpadKWn26HRURhc2TwO9tHmo","מודד"
"ישראל גוך I.G DRONE",,,"ברקאי 11","רמת גן",,"IL","https://sites.google.com/view/igdrone/%D7%91%D7%99%D7%AA?authuser=3","+972 54-614-9361","שירות צילום","שירותי רחפנים",,,,"https://www.google.com/maps/search/?api=1&query=%D7%99%D7%A9%D7%A8%D7%90%D7%9C%20%D7%92%D7%95%D7%9A%20I.G%20DRONE&query_place_id=ChIJM0QoNN9LHRURBCsVNWPrDHg","שירות צילום"
"לול טי וי","4.7","361",,"גבעת השלושה",,"IL","http://www.looltv.com/","+972 3-656-5500","חנות ציוד לכלי טיס","חנות",,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%95%D7%9C%20%D7%98%D7%99%20%D7%95%D7%99&query_place_id=ChIJ5UiVCmA5HRURifxYEutdsuw","חנות ציוד לכלי טיס"
"רחפני תל אביב Tlvdrones","4.9","81","שיינקין 76","גבעתיים",,"IL",,"+972 50-511-2127","חנות",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A8%D7%97%D7%A4%D7%A0%D7%99%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%20Tlvdrones&query_place_id=ChIJwZuO70FLHRURzvo8jz9jaz0","חנות"
"קובי dji מעבדת תיקונים לרחפנים","5","146","אלול 30","תל אביב-יפו",,"IL","https://www.facebook.com/profile.php?id=100063533410758&mibextid=JRoKGi","+972 50-746-2441","חנות רחפנים",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A7%D7%95%D7%91%D7%99%20dji%20%D7%9E%D7%A2%D7%91%D7%93%D7%AA%20%D7%AA%D7%99%D7%A7%D7%95%D7%A0%D7%99%D7%9D%20%D7%9C%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJ1VmUVsxLHRURnJG6KlGhgqg","חנות רחפנים"
"עולם הרחפנים","4.6","91","סוקולוב 80","רמת השרון",,"IL","http://www.bargad.co.il/","+972 52-665-3331","ספק מוצרי קידום מכירות","מעבדה",,,,"https://www.google.com/maps/search/?api=1&query=%D7%A2%D7%95%D7%9C%D7%9D%20%D7%94%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJSSdVZmw2HRUR_j0On7cbIaE","ספק מוצרי קידום מכירות"
"DJI Israel","4.2","603","משכית 26","הרצליה",,"IL","https://www.djistore.benda.co.il/","+972 73-266-0699","חנות חשמל ואלקטרוניקה",,,,,"https://www.google.com/maps/search/?api=1&query=DJI%20Israel&query_place_id=ChIJo5dgSmRJHRURNIccpfdGpkI","חנות חשמל ואלקטרוניקה"
"Race Drones - רחפני FPV","5","5","irgon","כפר הס",,"IL","https://race-drones.com/","+972 55-556-4596","חנות רחפנים",,,,,"https://www.google.com/maps/search/?api=1&query=Race%20Drones%20-%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%20FPV&query_place_id=ChIJ5XgJEeA5HRURHFtdqfZyTZU","חנות רחפנים"
"הוביז בע""מ","4","51","יד חרוצים 6","כפר סבא",,"IL","http://www.hobbiz.co.il/","+972 72-384-5200","משרדי החברה",,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%95%D7%91%D7%99%D7%96%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJUTEclMKiAhURB24vhhCVAdg","משרדי החברה"
"פלייסייף Flysafe","4.8","48",,,,,,"+972 50-599-2222","חנות רחפנים","Service establishment",,,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%9C%D7%99%D7%99%D7%A1%D7%99%D7%99%D7%A3%20Flysafe&query_place_id=ChIJe0W4g5NnAhURAFbIMtsPapc","חנות רחפנים"
"S.A צילום אוויר והדרכת מטיסים","5","11",,,,,"https://sa-drone.co.il/","+972 50-733-6218","צלם אווירי","Service establishment",,,,"https://www.google.com/maps/search/?api=1&query=S.A%20%D7%A6%D7%99%D7%9C%D7%95%D7%9D%20%D7%90%D7%95%D7%95%D7%99%D7%A8%20%D7%95%D7%94%D7%93%D7%A8%D7%9B%D7%AA%20%D7%9E%D7%98%D7%99%D7%A1%D7%99%D7%9D&query_place_id=ChIJP4f62Uc1mGkRnVcoSSQA5mA","צלם אווירי"
