"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","url","categoryName"
"לול טי וי","4.7","361",,"גבעת השלושה",,"IL","http://www.looltv.com/","+972 3-656-5500","חנות ציוד לכלי טיס","חנות",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%95%D7%9C%20%D7%98%D7%99%20%D7%95%D7%99&query_place_id=ChIJ5UiVCmA5HRURifxYEutdsuw","חנות ציוד לכלי טיס"
"א.מ אלומות פתרונות אווירים בע""מ","4","1","עתיר ידע 23, קומה 2","כפר סבא",,"IL","http://www.alumotsprayers.co.il/","+972 77-361-1966","שירות הדברה",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90.%D7%9E%20%D7%90%D7%9C%D7%95%D7%9E%D7%95%D7%AA%20%D7%A4%D7%AA%D7%A8%D7%95%D7%A0%D7%95%D7%AA%20%D7%90%D7%95%D7%95%D7%99%D7%A8%D7%99%D7%9D%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJD-BrQZ0_HBUR-urihC93zqE","שירות הדברה"
"ארגון עובדי הפלחה אגש""ח ארצית בע""מ","4","2","בית משקי הדרום צומת ראם (מסמיה ד. נ. שקמים",,,"IL","http://falcha.co.il/","+972 9-960-4080","אגודה חקלאית",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%A8%D7%92%D7%95%D7%9F%20%D7%A2%D7%95%D7%91%D7%93%D7%99%20%D7%94%D7%A4%D7%9C%D7%97%D7%94%20%D7%90%D7%92%D7%A9%22%D7%97%20%D7%90%D7%A8%D7%A6%D7%99%D7%AA%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJ_wNk8H6_AhUR7_c4SXQ6YyM","אגודה חקלאית"
"דוקטור ספיי ציוד ריגול ומעקב- SPY SHOP","4.4","121","דרך העצמאות 43, כניסה א","יהוד מונוסון",,"IL","http://www.drspy.co.il/","+972 77-700-2462","חנות למוצרי אבטחה","חנות לציוד צבאי","חנות צילום","צילום",,,,"https://www.google.com/maps/search/?api=1&query=%D7%93%D7%95%D7%A7%D7%98%D7%95%D7%A8%20%D7%A1%D7%A4%D7%99%D7%99%20%D7%A6%D7%99%D7%95%D7%93%20%D7%A8%D7%99%D7%92%D7%95%D7%9C%20%D7%95%D7%9E%D7%A2%D7%A7%D7%91-%20SPY%20SHOP&query_place_id=ChIJJfUA3KNMHRURsgr5wYIujM8","חנות למוצרי אבטחה"
"ישראל גוך I.G DRONE",,,"ברקאי 11","רמת גן",,"IL","https://sites.google.com/view/igdrone/%D7%91%D7%99%D7%AA?authuser=3","+972 54-614-9361","שירות צילום",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%99%D7%A9%D7%A8%D7%90%D7%9C%20%D7%92%D7%95%D7%9A%20I.G%20DRONE&query_place_id=ChIJM0QoNN9LHRURBCsVNWPrDHg","שירות צילום"
"Propeller Drones - פרופלור דרונס","5","41","צור 8","כוכב יאיר צור יגאל",,"IL","http://www.propeller-drones.com/","+972 77-604-8588","שירותי רחפנים",,,,,,,"https://www.google.com/maps/search/?api=1&query=Propeller%20Drones%20-%20%D7%A4%D7%A8%D7%95%D7%A4%D7%9C%D7%95%D7%A8%20%D7%93%D7%A8%D7%95%D7%A0%D7%A1&query_place_id=ChIJAR-Yck49HRUR2GJE3ceMWjw","שירותי רחפנים"
"חווה חקלאית תלמי אברהם","4.8","23","שדרת הצבי 10","רמת גן",,"IL","http://www.ramat-gan.info/%D7%97%D7%95%D7%94_%D7%97%D7%A7%D7%9C%D7%90%D7%99%D7%AA","+972 3-674-1616","בית ספר חקלאי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%97%D7%95%D7%95%D7%94%20%D7%97%D7%A7%D7%9C%D7%90%D7%99%D7%AA%20%D7%AA%D7%9C%D7%9E%D7%99%20%D7%90%D7%91%D7%A8%D7%94%D7%9D&query_place_id=ChIJp-dyZvdKHRURZkMoG5nNr2Q","בית ספר חקלאי"
"חווה לחינוך חקלאי","4.1","22","הנשיא 70","אשקלון",,"IL",,"+972 8-673-3269","בית ספר חקלאי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%97%D7%95%D7%95%D7%94%20%D7%9C%D7%97%D7%99%D7%A0%D7%95%D7%9A%20%D7%97%D7%A7%D7%9C%D7%90%D7%99&query_place_id=ChIJlSZQ0UacAhUR2pJxkBKZ4KA","בית ספר חקלאי"
"החווה לחינוך חקלאי ואיכות הסביבה","4.8","6","אנה פרנק 10","בת ים",,"IL","http://cms.education.gov.il/EducationCMS/Units/Mazkirut_Pedagogit/Chaklaut/Chavot/HavaBatYam.htm","+972 3-552-5015","מרכז הדרכה","משתלה",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%94%D7%97%D7%95%D7%95%D7%94%20%D7%9C%D7%97%D7%99%D7%A0%D7%95%D7%9A%20%D7%97%D7%A7%D7%9C%D7%90%D7%99%20%D7%95%D7%90%D7%99%D7%9B%D7%95%D7%AA%20%D7%94%D7%A1%D7%91%D7%99%D7%91%D7%94&query_place_id=ChIJGTMleXSzAhURhq6cmFqweSY","מרכז הדרכה"
"מ.אש מכניקה מדויקת בע""מ","5","122","צבי ברגמן 13","פתח תקווה",,"IL","http://www.mashcnc.com/","+972 54-479-8796","בית מלאכה לעיבוד שבבי","מפעל מכני",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9E.%D7%90%D7%A9%20%D7%9E%D7%9B%D7%A0%D7%99%D7%A7%D7%94%20%D7%9E%D7%93%D7%95%D7%99%D7%A7%D7%AA%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJuVMHo3M2HRURvzfAgCY4Qxs","בית מלאכה לעיבוד שבבי"
"פורטל החקלאות הישראלי","4.7","10","קיבוץ החותרים","החותרים",,"IL","https://www.israel.agrisupportonline.com/","+972 53-944-6765","חקלאות",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A4%D7%95%D7%A8%D7%98%D7%9C%20%D7%94%D7%97%D7%A7%D7%9C%D7%90%D7%95%D7%AA%20%D7%94%D7%99%D7%A9%D7%A8%D7%90%D7%9C%D7%99&query_place_id=ChIJZwmN4aGkHRURFYAB8ZgeeP8","חקלאות"
"Agroscout","5","3",,"יראון",,"IL","https://agro-scout.com/","","חברת תוכנה",,,,,,,"https://www.google.com/maps/search/?api=1&query=Agroscout&query_place_id=ChIJz5ZWhko0HBURkRRxmjjfYG4","חברת תוכנה"
"DAIRY COURSE Israeli Dairy School","4.9","62","האלונים 17","אלון הגליל",,"IL","https://www.dairyschool.co.il/","+972 54-486-5282","בית ספר חקלאי","מוצרי חלב","משק חלב","ספק ציוד למשק חלב","סמינר","מרכז הדרכה",,"https://www.google.com/maps/search/?api=1&query=DAIRY%20COURSE%20Israeli%20Dairy%20School&query_place_id=ChIJAQC8vLJMHBURiKJJkpa4H_M","בית ספר חקלאי"
"ג'י. אמ. אקס מערכות בע""מ","5","17","השדרה 1","צופית",,"IL","https://gmxsys.com/","+972 9-740-9554","ספק לציוד מדידה","חנות לציוד בנייה",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%92'%D7%99.%20%D7%90%D7%9E.%20%D7%90%D7%A7%D7%A1%20%D7%9E%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%91%D7%A2%22%D7%9E&query_place_id=ChIJrz4ZFgU5HRUR9rUNZEdYuAs","ספק לציוד מדידה"
"רחפני תל אביב Tlvdrones","4.9","81","שיינקין 76","גבעתיים",,"IL",,"+972 50-511-2127","חנות",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A8%D7%97%D7%A4%D7%A0%D7%99%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91%20Tlvdrones&query_place_id=ChIJwZuO70FLHRURzvo8jz9jaz0","חנות"
"עולם הרחפנים","4.6","91","סוקולוב 80","רמת השרון",,"IL","http://www.bargad.co.il/","+972 52-665-3331","ספק מוצרי קידום מכירות","מעבדה",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A2%D7%95%D7%9C%D7%9D%20%D7%94%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJSSdVZmw2HRUR_j0On7cbIaE","ספק מוצרי קידום מכירות"
"אל די איי הפקות וידאו","5","28","מונטיפיורי 1","תל אביב-יפו",,"IL","https://www.lda-air.com/","+972 54-331-3165","צלם אווירי","צילום מסחרי","שירות צילום","שירות עריכת וידאו",,,,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%9C%20%D7%93%D7%99%20%D7%90%D7%99%D7%99%20%D7%94%D7%A4%D7%A7%D7%95%D7%AA%20%D7%95%D7%99%D7%93%D7%90%D7%95&query_place_id=ChIJ-cyDjIKfAhURCMz3Lyg5yl0","צלם אווירי"
"Race Drones - רחפני FPV","5","5","irgon","כפר הס",,"IL","https://race-drones.com/","+972 55-556-4596","חנות רחפנים",,,,,,,"https://www.google.com/maps/search/?api=1&query=Race%20Drones%20-%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%20FPV&query_place_id=ChIJ5XgJEeA5HRURHFtdqfZyTZU","חנות רחפנים"
"‏ג׳ימיני רחפנים",,,"הדקל 23","יגל",,"IL",,"+972 58-559-0585","צלם אווירי",,,,,,,"https://www.google.com/maps/search/?api=1&query=%E2%80%8F%D7%92%D7%B3%D7%99%D7%9E%D7%99%D7%A0%D7%99%20%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJ_TZR1j7LAhUR5av5flHXxwM","צלם אווירי"
"קובי dji מעבדת תיקונים לרחפנים","5","146","אלול 30","תל אביב-יפו",,"IL","https://www.facebook.com/profile.php?id=100063533410758&mibextid=JRoKGi","+972 50-746-2441","חנות רחפנים",,,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%A7%D7%95%D7%91%D7%99%20dji%20%D7%9E%D7%A2%D7%91%D7%93%D7%AA%20%D7%AA%D7%99%D7%A7%D7%95%D7%A0%D7%99%D7%9D%20%D7%9C%D7%A8%D7%97%D7%A4%D7%A0%D7%99%D7%9D&query_place_id=ChIJ1VmUVsxLHRURnJG6KlGhgqg","חנות רחפנים"
"לביא תצלומי אוויר","5","2","נים 2, עזריאלי ראשונים","ראשון לציון",,"IL","https://laviuav.com/","+972 77-345-9805","צלם אווירי","צלם",,,,,,"https://www.google.com/maps/search/?api=1&query=%D7%9C%D7%91%D7%99%D7%90%20%D7%AA%D7%A6%D7%9C%D7%95%D7%9E%D7%99%20%D7%90%D7%95%D7%95%D7%99%D7%A8&query_place_id=ChIJJWDmsve1AhURcSatOYQFMD0","צלם אווירי"
